fecha,producto,cantidad,precio
2025-01-02,Laptop,2,899.99
2025-01-02,Mouse inalámbrico,5,29.99
2025-01-03,Monitor 24",3,249.50
2025-01-03,Teclado mecánico,4,89.99
2025-01-04,Laptop,1,899.99
2025-01-04,Auriculares,7,59.99
2025-01-05,Webcam HD,3,79.99
2025-01-05,Mouse inalámbrico,8,29.99
2025-01-06,Monitor 24",2,249.50
2025-01-06,SSD 500GB,6,69.99
2025-02-07,Teclado mecánico,2,89.99
2025-02-07,Laptop,2,899.99
2025-02-08,Auriculares,4,59.99
2025-02-08,Cable HDMI,12,14.99
2025-02-09,Monitor 24",1,249.50
2025-02-09,Mouse inalámbrico,9,29.99
2025-02-10,Laptop,3,899.99
2025-02-10,Webcam HD,2,79.99
2025-02-11,SSD 500GB,4,69.99
2025-03-11,Teclado mecánico,3,89.99
2025-03-12,Auriculares,5,59.99
2025-03-12,Cable HDMI,15,14.99
2025-03-13,Monitor 24",4,249.50
2025-03-13,Laptop,1,899.99
2025-03-14,Mouse inalámbrico,6,29.99
2025-03-14,Webcam HD,1,79.99
2025-03-15,Teclado mecánico,5,89.99
2025-03-15,SSD 500GB,3,69.99
2025-04-16,Laptop,2,899.99
2025-04-16,Auriculares,8,59.99
2025-04-17,Cable HDMI,10,14.99
2025-04-17,Monitor 24",2,249.50
2025-04-18,Mouse inalámbrico,11,29.99
2025-04-18,Laptop,1,899.99
2025-04-19,Webcam HD,4,79.99
2025-04-19,Teclado mecánico,2,89.99
2025-04-20,SSD 500GB,5,69.99
2025-05-20,Auriculares,3,59.99
2025-05-21,Laptop,4,899.99
2025-05-21,Cable HDMI,8,14.99
2025-05-22,Monitor 24",3,249.50
2025-05-22,Mouse inalámbrico,7,29.99
2025-05-23,Webcam HD,2,79.99
2025-05-23,Teclado mecánico,4,89.99
2025-05-24,Laptop,2,899.99
2025-05-24,SSD 500GB,7,69.99
2025-06-25,Auriculares,6,59.99
2025-06-25,Cable HDMI,20,14.99
2025-06-26,Monitor 24",1,249.50
2025-06-26,Laptop,3,899.99
2025-06-27,Mouse inalámbrico,4,29.99
2025-06-27,Webcam HD,3,79.99
2025-06-28,Teclado mecánico,6,89.99
2025-06-28,SSD 500GB,2,69.99
2025-06-29,Laptop,1,899.99
2025-07-29,Auriculares,9,59.99
2025-07-30,Cable HDMI,11,14.99
2025-07-30,Monitor 24",5,249.50
2025-07-31,Mouse inalámbrico,10,29.99
2025-07-31,Laptop,2,899.99
2025-07-01,Webcam HD,1,79.99
2025-07-01,Teclado mecánico,3,89.99
2025-08-02,SSD 500GB,4,69.99
2025-08-03,Auriculares,5,59.99
