ID,Clee,Nombre_Unidad,MIPYMES,,,,
6879719,09010213111000037000000000U0,Impulso Integral De Proyectos,251 y más personas,,,,
9229392,09010221121000011000041181M4,Zona Escolar 331,251 y más personas,,,,
9298964,09010221111000117000041182S0,Restaurante Vapiano Santa Fe,251 y más personas,,,,
9276337,09010221111000127000041182S9,Vapiano Santa Fe,251 y más personas,,,,
6858548,09010237994000037001000000U1,Acuario,251 y más personas,,,,
6867761,09010238222000102001020045M8,Mezcaleria,251 y más personas,,,,
6144839,09010236211000037010000000U1,Jesus De Urquiaga,251 y más personas,,,,
6881086,09010236222000067001000000U5,Credinissan,251 y más personas,,,,
6144639,09010238110000036001000000U5,Cravings,251 y más personas,,,,
6144641,09010236221000307010000000U7,Alenca Avaluos,251 y más personas,,,,
6810583,09010236221000567001000000U6,Clinica De Odontologia Integral Ayub,251 y más personas,,,,
6862452,09010238210000227000000000U8,Bistro 83,251 y más personas,,,,
6144655,09010237121000027000000000U2,Casa Galano,251 y más personas,,,,
6859655,09010238210000177000000000U5,Grupo Cultural Icel,251 y más personas,,,,
6856625,09010238222000117000000000U6,Lucca Restaurante,251 y más personas,,,,
6857016,09010323120000067000000000U5,Brooks Brother Artz,251 y más personas,,,,
6868381,09010322291000017001006958S0,Cremeria Niño Dios S. De R.L,251 y más personas,,,,
6314982,09010326194000036001004371M2,Consultorio Dental Jehil,251 y más personas,,,,
6862369,09010325412000187001000000U0,Jr Decoraciones,251 y más personas,,,,
6316622,09010325999000066002004303S2,La Casita De Los Peques,251 y más personas,,,,
6859134,09010321999000106001000000U0,Por El Derecho Para Morir Con Dignidad,251 y más personas,,,,
6314809,09010339940000047000000000U0,Vips,251 y más personas,,,,
6314987,09010332720000067000004436M1,Una Feria,251 y más personas,,,,
6315278,09010336110000047000004428M3,C & C Estudios Y Proyectos,251 y más personas,,,,
6348659,15121336110000017100004439S3,Ceramica De Alta Temperatura,251 y más personas,,,,
6316274,09010431191000087000002859S3,Evime,251 y más personas,,,,
6315435,09010433410000031011004441M3,Evolution Center,251 y más personas,,,,
6305086,09010435411000123001000000U4,Mantenimiento Automotriz,251 y más personas,,,,
6304660,09010431191000066001002859M7,Farmacia Premier Las Aguilas 1,251 y más personas,,,,
6314526,09010431211000057001003816S2,Ferresilva,251 y más personas,,,,
997208,09010433110000174001000000U7,Ferre Electrica Del Sur,251 y más personas,,,,
6319294,09010435419000101000006958S3,Mexindustrial Assets,251 y más personas,,,,
9204819,09010435411000301000039546M6,Foto Estudio Arael,251 y más personas,,,,
6354867,15104435419000947001020292M2,General De Anuncios Publicitarios,251 y más personas,,,,
9229403,09010434229000197000039243M5,Kinder Gengis Kan,251 y más personas,,,,
6201167,09010434211001073001000000U5,F7 Manzo,251 y más personas,,,,
6318640,09010435412000066001003216M3,Servicio Ambiental Especializado,251 y más personas,,,,
6315302,09010433110000041000038480M8,Grupo Arquitectonica,251 y más personas,,,,
8401652,09010433110000331000021126M3,Ostioneria Mazatlan,251 y más personas,,,,
6315661,09010325412000021001000000U7,Rosticeria Hermanos Rios,251 y más personas,,,,
6304742,09010433110000116000004438M8,Grapas De Mexico,251 y más personas,,,,
926454,09010434222000252001000000U3,Ice Asesores En Comunicacion Y Prensa,251 y más personas,,,,
8332417,09010431211000065000005467S5,Corporativo Orozco Andrade,251 y más personas,,,,
6323927,09010433510000011000003289M2,Quality Guitar,251 y más personas,,,,
6860665,09010433110000254001000000U7,Oficnas,251 y más personas,,,,
847305,09010434230000017000003128S3,Ceneval Ac,251 y más personas,,,,
6316157,09010431110000054000002373S3,Escuela De Canto Evocal Studio,251 y más personas,,,,
6318857,09010431110000043000002373S6,Investigacion Integral De Mercados,251 y más personas,,,,
8332695,09010461190003317000002859S6,Grupo Bestav,251 y más personas,,,,
8375355,09010461190003287000002859S1,Sports World Loreto,251 y más personas,,,,
6708020,09010464112000564001000000U7,Jardin De Niños Arcoiris,251 y más personas,,,,
996427,09010722515000751000000000U2,114 Pedregal Llano De La Torre,0 a 5 personas,,,,
1054952,09010311812000121000000000M6,1503 Pedregal,0 a 5 personas,,,,
8564100,09010931610001841000000000U6,1N Primer Nivel Group,0 a 5 personas,,,,
6313951,09010532110000043000000000U4,235 Las Agulas Puente Colorado,11 a 30 personas,,,,
8528431,09010531113001001000000000U6,3412 Gbo Balance Centro Comercial Samara,0 a 5 personas,,,,
1026166,09010315222000013001000000U3,5 7 6,11 a 30 personas,,,,
927931,09010236111000421001000000U9,55 Zapateria Vazza San Ángel,11 a 30 personas,,,,
924469,09010812110012861000000000U6,7 Eleven Suc  Vito Alessio 528,0 a 5 personas,,,,
9229486,09010522110010381000041016S8,Abarrotes Bere,0 a 5 personas,,,,
6304734,09010811211000603000004296M3,Abarrotes Centenario,31 a 50 personas,,,,
8564386,09010325190000041000000000U1,Abarrotes La Fortuna,0 a 5 personas,,,,
9324526,09010541610002681000000000U0,Abarrotes La Guera,0 a 5 personas,,,,
996245,09010621211001871001000000U5,Abarrotes Pachita,31 a 50 personas,,,,
998540,09010813210001182001000000U7,Abarrotes Perez,0 a 5 personas,,,,
8392407,09010611121000553000000000U3,Abarrotes Tita,11 a 30 personas,,,,
1026100,09010465311000331000000000U8,Abarrotes Y Cremeria Tami Y Dany,0 a 5 personas,,,,
6318314,09010434222000193010000000U9,Abastecedora Mayorista De Equipo De Emergencia,31 a 50 personas,,,,
6863486,09010561110001102001000000U1,Abbaglio,0 a 5 personas,,,,
8565056,09010541690000401000000000U4,Academia De Baile Diana Alanis,0 a 5 personas,,,,
6323745,09010611121000243011003211M1,Academia De Baile Step Up,11 a 30 personas,,,,
8694653,09010722515003151000000000U2,Academy Nails,0 a 5 personas,,,,
997668,09010621211003442002004416S3,Acani Soluciones,11 a 30 personas,,,,
1051543,09010523110000082000000000U3,Accesorize,6 a 10 personas,,,,
928837,09010467113001111000000000U1,Ace Industrial,0 a 5 personas,,,,
8564054,09010722512000571000000000U1,Acierto Desarrollo De Negocios,0 a 5 personas,,,,
6317382,09010551111000091000000000U7,Acojinamientos Rothec,0 a 5 personas,,,,
6157724,09010484119000097011000000U9,Actimed,101 a 250 personas,,,,
7924423,09010713943001653000000000S4,Actividades Administrativas De Instituciones De Bienestar Social,11 a 30 personas,,,,
6860321,09010541690000461000000000U8,Administracion Av Revolucion 1877,0 a 5 personas,,,,
928706,09010465311008771000000000U7,Administracion Del Edificio Universidad 1393,0 a 5 personas,,,,
7298627,09010532281000031000000000U8,Administración Y Prevencion,0 a 5 personas,,,,
6314527,09010325412000082000006535S3,Adn Diseño,0 a 5 personas,,,,
9296960,09010481111000062000014123S3,Advenio,6 a 10 personas,,,,
1055415,09010621398000051001000000U0,Afisec Y Asociados,6 a 10 personas,,,,
926844,09010463112000261001000000U1,Agencia De Viajes Exceltours,6 a 10 personas,,,,
8530352,09010323119001371000000000U2,Agencia Espacial Mexicana,0 a 5 personas,,,,
9007465,09010434219000191000000000U9,Agon,0 a 5 personas,,,,
6308623,09010464111002991000009750S2,Agricola Innovacion,0 a 5 personas,,,,
